Name,Type,Sub-Type,Price,Price Type
ARRI 800W Redhead Lamp,Lighting,Tungsten ,8,Per Day
Dedo 150W Lamp Kit,Lighting,Tungsten ,65,Per Day
Rifa 1000W Lamp,Lighting,Tungsten ,65,Per Day
Rifa 500W Lamp,Lighting,Tungsten ,45,Per Day
KinoFlo 4 Foot 4 Bank Lamp,Lighting,Fluorescent,65,Per Day
KinoFlo Diva 400 Lamp,Lighting,Fluorescent,45,Per Day
KinoFlo MiniFlo,Lighting,Fluorescent,35,Per Day
Gekko KissLite,Lighting,Battery Powered,135,Per Day
Gekko LensLite,Lighting,Battery Powered,90,Per Day
IDX 50w Top Light,Lighting,Battery Powered,15,Per Day
LitePanel 1x1 Foot LED Lamp,Lighting,Battery Powered,65,Per Day
LitePanel Micro LED Top Lamp,Lighting,Battery Powered,15,Per Day
PAG 50W Top Light,Lighting,Battery Powered,30,Per Day
Sony 20W Top Light,Lighting,Battery Powered,10,Per Day
20w Strobe Light,Lighting,Accessories,5,Per Day
Century Stand,Lighting,Accessories,5,Per Day
Chroma Key Fabric Screen,Lighting,Accessories,15,Per Day
Gaffer Clamp,Lighting,Accessories,2.5,Per Day
LastoLite Reflector,Lighting,Accessories,5,Per Day
Magic Arm Kit,Lighting,Accessories,5,Per Day
Manfrotto AutoPole 2 (PoleCat),Lighting,Accessories,5,Per Day
Manfrotto AutoPole2 Extension,Lighting,Accessories,5,Per Day
"Polyboard 4x4 Foot 2"" Square (Black/White)",Lighting,Accessories,22.5,Purchase
"Polyboard 8x4 Foot 2"" Rectangle (Black/White)",Lighting,Accessories,39.95,Purchase
Polyboard Holder Kit,Lighting,Accessories,5,Per Day
Sennheiser 416P kit,Sound,,15,Per Day
Sennheiser EW100 G2 Radio Microphone Kit,Sound,,25,Per Day
Sennheiser K6/ME66,Sound,,10,Per Day
Softie and pistol grip,Sound,,5,Per Day
SQN 4 Channel Sound Mixer KIT,Sound,,50,Per Day
Tascam DA-P1,Sound,,30,Per Day
Technics headphones,Sound,,5,Per Day
Telescopic Boom Pole,Sound,,15,Per Day
ARRI FF3,Accessories,Follow Focus,65,Per Day
ARRI FF4,Accessories,Follow Focus,50,Per Day
ARRI LCS MKIII,Accessories,Follow Focus,300,Per Day
Cmotion 3D FF,Accessories,Follow Focus,,Call
Cmotion WLCS,Accessories,Follow Focus,250,Per Day
Redrock Follow Focus,Accessories,Follow Focus,25,Per Day
ARRI LMB5 Mattebox,Accessories,Mattebox,45,Per Day
ARRI MB14 Mattebox,Accessories,Mattebox,90,Per Day
ARRI MB16 Mattebox,Accessories,Mattebox,50,Per Day
ARRI MB18 Mattebox,Accessories,Mattebox,65,Per Day
ARRI MB19 Mattebox,Accessories,Mattebox,65,Per Day
ARRI MB20 Mattebox,Accessories,Mattebox,65,Per Day
Redrock DSLR MB Mattebox,Accessories,Mattebox,35,Per Day
Vocas MB350 Mattebox,Accessories,Mattebox,35,Per Day
"Black ProMist 4""x4""",Accessories,Filters,10,Per Filter Per Day
"Classic Soft Contrast 4""x4"" Filter",Accessories,Filters,10,Per Day
Clip-on diopter holder,Accessories,Filters,10,Per Day
"Infra-Red 4""x4"" Filter",Accessories,Filters,15,Per Day
"ND 4""x4"" Neutral Density Straight Filter",Accessories,Filters,10,Per Day
ND Grads Hard Edge (SE) Neutral Density Filter,Accessories,Filters,10,Per Day
ND Grads Soft Edge (SE) Neutral Density Filter,Accessories,Filters,10,Per Day
"Net filters 4""x4""",Accessories,Filters,10,Per Day
Optical Flat,Accessories,Filters,10,Per Day
"Polariser 4""x4""",Accessories,Filters,10,Per Day
Schneider 138mm Achromatic Diopter Set,Accessories,Filters,45,Per Day
"Schneider 4.5"" Diopter Set",Accessories,Filters,45,Per Day
Ultra Contrast,Accessories,Filters,10,Per Day
HDMI to SDI box,Accessories,Monitors,15,Per Day
"Hyundai 24"" 3D Monitor",Accessories,Monitors,100,Per Day
IDX WEVI wireless,Accessories,Monitors,85,Per Day
JVC GD-463D10,Accessories,Monitors,250,Per Day
"L4 Pro 4"" LCD",Accessories,Monitors,15,Per Day
"LCM PRO 7"" LCD",Accessories,Monitors,30,Per Day
Panasonic BT-LH80W,Accessories,Monitors,75,Per Day
Panasonic BT-LH900A,Accessories,Monitors,75,Per Day
Panasonic BTLH1760W,Accessories,Monitors,100,Per Day
Sony GDV1000E,Accessories,Monitors,45,Per Day
Sony PVM-14M4E,Accessories,Monitors,45,Per Day
Sony PVM-1741 OLED,Accessories,Monitors,100,Per Day
Teradek bolt pro,Accessories,Monitors,65,Per Day
"Transvideo 12""",Accessories,Monitors,150,Per Day
"TV Logic 5.6"" VFM-056WP Monitor",Accessories,Monitors,55,Per Day
1m Glidetrack Slider,Accessories,Grip,50,Per Day
Blast/ bomb cage,Accessories,Grip,95,Per Day
EasyRig Cinema 3,Accessories,Grip,165,Per Day
EF-MOY 3 way leveler,Accessories,Grip,35,Per Day
Gaffer tape,Accessories,Grip,8,Per Day
Ladderpod,Accessories,Grip,100,Per Day
Moy Geared Head,Accessories,Grip,190,Per Day
Sausages,Accessories,Grip,,Call
SM3 Car Mount,Accessories,Grip,55,Per Day
RED 8Gb CF Card Rec.time 4min 4K,Storage,,10,Per Day
RED Drive 320Gb Rec.time 170min 4K,Storage,,50,Per Day
8GB P2 Card,Storage,,25,Per Day
Digital Betacam Sony BCT D32M,Storage,,18,Per Day
DVCAM Sony 60min,Storage,,14,Per Day
HDCAM Sony BCT 40HD,Storage,,21.5,Per Day
LACIE Quadra II 1TB External HDD,Storage,,20,Per Day
LACIE Quadra II 500Gb External HDD,Storage,,15,Per Day
Mini DV Sony 40min,Storage,,11,Per Day
Mini DV Sony 60min,Storage,,5,Per Day
P2 Card Panasonic 16Gb per day,Storage,,20,Per Day
P2 Card Panasonic 8Gb per day,Storage,,10,Per Day
Panasonic AJ-P126LP 31min (Varicam),Storage,,20,Per Day
Sony SxS 32gb memory card,Storage,,20,Per Day
Sony SxS 8gb memory card,Storage,,10,Per Day
BNC Drum,Misc,,10,Per Day
Clapperboard,Misc,,10,Per Day
Firestore FS-100 Rec.time 110min,Misc,,45,Per Day
Frameguide generator,Misc,,5,Per Day
Mains drum,Misc,,5,Per Day
Manfrotto monopod,Misc,,5,Per Day
Modular handheld,Misc,,45,Per Day
Motorola GP340,Misc,,22,Per Day
Optical EVF magnifier,Misc,,15,Per Day
Rain jacket,Misc,,5,Per Day
"Remote On/Off (2/3"" Cameras)",Misc,,20,Per Day
Rolling spider,Misc,,45,Per Day
Smoke machine,Misc,,45,Per Day
Sony Wide Angle Lens,Misc,,15,Per Day
Underwater housing,Misc,,50,Per Day
Varizoom VZ-PROL,Misc,,10,Per Day
Varizoom VZ-PZFI,Misc,,15,Per Day
Viewfactor Remote On/Off (RED Only),Misc,,25,Per Day
Zacuto EVF adaptor,Misc,,15,Per Day
10m Component,Power/Cabling,,,Call
13 to 16 Amp jumper,Power/Cabling,,,Call
14m 16 Amp,Power/Cabling,,,Call
16 to 13 Amp jumper,Power/Cabling,,,Call
20m XLR,Power/Cabling,,,Call
25m 16 Amp,Power/Cabling,,,Call
5 to 10m BNC,Power/Cabling,,,Call
5 to 10m XLR,Power/Cabling,,,Call
8m 16 Amp,Power/Cabling,,,Call
BNC 100m Drum,Power/Cabling,,,Call
BNC 20m Cable,Power/Cabling,,,Call
BNC 50m Drum,Power/Cabling,,,Call
Firewire 1.5m,Power/Cabling,,,Call
Mains 30m 13 Amp cable drum,Power/Cabling,,,Call
Mains 50m 13 Amp cable drum,Power/Cabling,,,Call
